,0
mean_fit_time,0.2951352119445801
std_fit_time,0.02241798013575361
mean_score_time,0.05692124366760254
std_score_time,0.004204008259124528
param_var_smoothing,1e-09
params,{'var_smoothing': 1e-09}
split0_test_score,0.5844471445929527
split1_test_score,0.5847326557666814
split2_test_score,0.5803137428192665
split3_test_score,0.5860125952933377
split4_test_score,0.5836924096784886
mean_test_score,0.5838396782960296
std_test_score,0.0019152975431528114
rank_test_score,1
split0_train_score,0.583853504943932
split1_train_score,0.5836440467312951
split2_train_score,0.5853840417598807
split3_train_score,0.5832688908528502
split4_train_score,0.5837936367653557
mean_train_score,0.5839888242106627
std_train_score,0.0007266659483380464
